,job_title,company_name,location,duration,date_posted,Num_Applicants,Num_Views,Num_In_Consideration,Num_Not_Selected,skills_and_tools,salary,experience_needed,education_level,job_categories,career_level,job_description,job_requirements,job_link,Logo
0,Data Analysis Instructor (Excel - Power BI),EpsilonAI,"Nasr City, Cairo","Full Time,Part Time,Freelance / Project",1 month ago,128,20,0,0,"IT/Software Development,Analyst/Research,Training/Instructor,Analysis,business,Business Intelligence,Data Analysis,Computer Science,Power BI,SQL,Tableau,BI,Data,Information Technology (IT),Training,SPSS,Sass,SAS","Confidential, Commissions And Bonuses",More Than 1 Year,Bachelor'S Degree,"IT/Software Development,Analyst/Research,Training/Instructor",Entry Level (Junior Level / Fresh Grad),"['As a Data Analysis Instructor, you will guide your Trainees through hands-on exercises, and introduce important tools such as Excel, Power BI', 'conducting and delivering direct training sessions for internal and external clients', 'All of our classes are part-time, designed to fit into your work schedule so you will be able to enjoy teaching while still being able to manage your full-time responsibilities at your current company.', 'Ability to connect and build relationships with Trainees and colleagues from varied ethnicities, ages, backgrounds, learning styles, and abilities', 'Delivering training across the entire organization', 'Someone who has an obsession with constantly learning new technologies, and a personal dedication to always be up to date with the very latest coding languages, deployment technologies, and industry best practices.', 'prepare and evaluate diploma assignments, graduation projects, and final exams', ""answering trainee's questions and providing quick support"", 'Utilizing a variety of training methodologies, techniques, concepts, learning tools, and practices to ensure maximum effectiveness of training programs']","['Exceptional communication and presentation skills', 'Experience doing quantitative analysis', 'Experience with customer engagements', 'Experience with Microsoft Excel', 'High-level proficiency with SQL based query languages and relational data concepts', 'Experience with business intelligence and data visualization tools (Tableau, Power BI, etc.)', 'Candidates must have a degree in computer science, information technology, cybersecurity, information systems, or a related field.', 'Acts as a technical mentor guiding Trainees on a technical journey of discovery', 'Working experience in business intelligence and data analysis', 'Nice to haves:', 'Prior experience teaching to a class of Trainees', 'Experience with statistical packages (SPSS, SAS, Stata, etc.)', 'Prior experience training employees or colleagues']",https://wuzzuf.net/jobs/p/oOKRpUGGzzuO-Data-Analysis-Instructor-Excel---Power-BI-EpsilonAI-Cairo-Egypt?o=1&l=sp&t=sj&a=data analysis|search-v3,https://images.wuzzuf-data.net/files/company_logo/EpsilonAI-Egypt-65111-1626178228.png
1,Senior Data Analyst - Cairo,Confidential Company,"Cairo, Egypt",Full Time,6 days ago,8,1,0,0,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Data,Google Analytics,Marketing,Management,MS Office,RSC,Analysis,Computer Science,Data Analysis,Data Management,Information Technology (IT),Tableau",Confidential,5 To 9 Years,Bachelor'S Degree,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology",Experienced (Non-Manager),"['Egybell is hiring RSC Analytic Manager for a comoany located in october', 'Job description:', '1. Responsible for preparing and analyzing data from all projects covered by RSC ”Remote Support Center” unit.', '2. Build different types of dashboards and presentations illustrating the situation of the covered projects.', '3. Lead cross-functional projects using advanced data modeling and analysis techniques to discover insights that will guide strategic decisions and uncover optimization opportunities.', '4. Build, develop and maintain data models, reporting systems, data automation systems, dashboards and performance metrics support that support key business decisions.', '5. Design and build technical processes to address business issues.', '6. Oversee the design and delivery of reports and insights that analyze business functions and key operations and performance metrics.', '7. Ensure accuracy of data and deliverables of reporting employees with comprehensive policies and processes.', '8. Manage and optimize processes for data intake, validation, mining and engineering as well as modeling, visualization and communication deliverables.', '9. Organize and drive successful completion of data insight initiatives through effective management of analyst and data employees and effective collaboration with stakeholders.', '10. Communicate results and business impacts of insight initiatives to stakeholders within the company.', ' ']","['Additional Requirements:', '1. To have good knowledge of Tableau and ERISITE Setup.', '2. To be Excellent user for MS office package and data management.', ' Behaviors Skills:', '1. Presentation, negotiation and argumentation skills.', '2. Very good leadership and management skills.', '3. Drive innovation & commercial thinking.', '4. Decision making & initiating action.', '5. Ability to adapt to changes.', '6. Self-motivated.', '7. Take leads if needed and can be team player.', '8. Excellent social skills and strong customer orientation.', '9. Capable of coping with pressures & setbacks.', '10. Helpful, supportive and understand to make other shine.', '11. Positive, flexible, pro-active, act and drive with urgency.', '12. Working effectively under pressure.', ' Years of Experience& Certifications:', '1. Min 5 years working in similar roles (Working with Erisite is plus)', 'Require laptop and mobile package.']",https://wuzzuf.net/jobs/p/R7KdIv7dCm0z-Senior-Data-Analyst---Cairo-Cairo-Egypt?o=2&l=sp&t=sj&a=data analysis|search-v3,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADoAAAA4CAMAAACbrRsRAAAA7VBMVEX///8AAAAAAAAAAABsbGy3trZ5eXkAAAAAAAAAAACko6Oop6cAAAAAAAAAAAAqKSmgn5+npqapqKhGRkYAAAAAAACTkpKamZkAAACura21tLS1tLSbmpqLioqura2ysbEAAAAAAAAAAAAAAAAAAAAAAAAAAACMi4sAAAAAAAAAAACxsLCura22tbW2tbUAAAAAAACsq6u0s7O2tbUAAAAAAAAAAABjYmIAAAChoaGQj4+Eg4MAAACJiIgAAACmpaUAAAAAAACjoqKfnp6lpKRvbm6enZ2sq6sAAAC0s7MAAACwr68AAABLS0sAAAA4s2hBAAAAT3RSTlMADTYQZf9xAiAluMQnBANCr8LGTgYslaAz3PP2o4bZ5x0WMCMZNCaJLis14Nf4/TIp0PH6CwEHXhOxjX0YhBW9JCKzrLpoqs0f7jHeLVAJRHNrcAAAAfdJREFUeAFiGAWA6upCuY0YCAOwrXgdxczUHOgcUmO2Gmbm93+crrakqNFNGP7E7G9W2pH3Xpgkw8w8j6YA0u9KZznncxmAbA6f5J9EC8VSqQyYSqlUrT2Rwt+8E60zVmz8o80qY63H0jZY6Tyefpv3PB98z8tA0MCnT6DzoRBRuy5EN9NYEGLxCTSVxPvsUiIhlnWTWu9DMytS4iqljNrNupTfn0BhtdfrQ6fXCwDavd7gHap+XJvmOB8GEeejcbPL+ZPaVC6VJhCUSmOATKk0ddOaMpLXVVOMLcMy3rX14V9G+kMZWftLw3UjGw/vtVA0vtP9R5ub6+vNzurW+vrmtpNm0/gxbOJdxqQrSoXNrR2l1onu7im1Mh7pN9MzSv2i9Gz/QKnDI5PWdQE9/hjR3q4uQEuhWkSp/jHXX4+penK6fnpiUruqe6+nSZU8tRfs2CsNhMEZDgSixQJ+1W4TzQs497zKPRrpgXB2IYTnpjQvzkdC5DIxbWoUcSaaR8LdJpvaBzGOUoFsGu+J2sefKP1yL4dSXmVMOqEClVIJ3KeJ6sN1qeTfo0NdQF/Wlt2U6l/fcF6Pa5M9YJ7SJnus2dS9YLDiXrDZJgd1twn+Job+zZemzAhS9l+QMiNEPyr5IXtGrmY1ba0/I7d0AVhTz8hd4uvlJ+yLlcGQIISoAAAAAElFTkSuQmCC"
2,Data Analyst,Hands of Hope Physical Therapy & Wellness,"Maadi, Cairo",Full Time,16 days ago,81,12,0,3,"IT/Software Development,Analyst/Research,Analysis,Analyst,Data,Data Analysis,Data Analyst,Information Technology (IT),Tableau,SPSS,SQL,SAS,Google Analytics,Epidemiology,Epidemiologist,Computer Science,Statistics",Confidential,3 To 18 Years,Bachelor'S Degree,"IT/Software Development,Analyst/Research",Experienced (Non-Manager),"['Track, collect, and interpret data, then analyze results using statistical techniques', 'Identify, analyze and interpret trends or patterns in complex data set', 'Provide insights and make recommendations based on data analysis', 'Google Analytics and similar platforms to present actionable insights in a visually appealing format.', 'Apply Data Cleaning Techniques for historical data.', 'Interpret data & analyze results to provide ongoing reports and dashboards', 'Translate their findings of trends, wrong data entries… into easy-to-understand reports, dashboards & presentations for management to get a clear picture of the department’s operations and ways to improve them.', 'Build company balance scorecard model', 'Analyze the historical data to forecast and create staffing scenarios for inbound and outbound business functions.', 'Provide quality assurance of imported data', 'Processing confidential data and information according to guidelines.', 'Managing and designing the reporting environment, including data sources, security, and metadata.', 'Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.', 'Generating reports from single or multiple systems.', 'Troubleshooting the reporting database environment and reports.', 'Evaluating changes and updates to source production systems.', 'Training end-users on new reports and dashboards.', 'Providing technical expertise in data storage structures, data mining, and data cleansing.']","['Essential experience in one or more of the data analysis tools (SQL, SPSS, VBA, R, Tableau, SAS, Microsoft Power BI, google data studio,…)  ', '3+ years in a data analyst role at least.', 'Expert-level proficiency with Excel and PowerPoint. Experience with Google Analytics, and Data Visualization tools.', 'Ability to collaborate effectively and work as part of a team', 'Strong attention to detail', 'Ability to analyze complex data sets and effectively communicate actionable insights to support goals and objectives.', 'Collaborative in nature with a passion for developing relationships.', 'Strong project management skills with the ability to prioritize multiple requests in a fast-paced environment.', 'Ability to work with stakeholders to assess potential risks.', 'Ability to analyze existing tools and databases and provide software solution recommendations.', 'Ability to translate business requirements into non-technical, lay terms.', 'High-level experience in methodologies and processes for managing large-scale databases.', 'Demonstrated experience in handling large data sets and relational databases.', 'Understanding of addressing and metadata standards.', 'High-level written and verbal communication skills.']",https://wuzzuf.net/jobs/p/9AAaTU2msaG5-Data-Analyst-Hands-of-Hope-Physical-Therapy-Wellness-Cairo-Egypt?o=3&l=sp&t=sj&a=data analysis|search-v3,https://images.wuzzuf-data.net/files/company_logo/9483258146258857cdb3da.png
3,Data Analyst,Gila Electric,"New Cairo, Cairo",Full Time,18 days ago,215,17,10,1,"Accounting/Finance,IT/Software Development,Analyst/Research,Analysis,business,Computer Science,Commerce,analytical,Communication skills,Analyst,Data Analysis,Information Technology (IT),Data Analyst",12000 To 13000 EGP Per Month,2 To 4 Years,Bachelor'S Degree,"Accounting/Finance,IT/Software Development,Analyst/Research",Experienced (Non-Manager),"['Interpret data, analyze results using statistical techniques and provide ongoing reports across different levels of the Life division.', 'Obtain data from internal data sources and maintain databases/data systems.', 'Actively identify, analyze, and interpret trends or patterns in simple to complex data sets.', 'Managing master data, including creation, updates, and deletion.', 'Managing users and user roles.', 'Provide quality assurance of imported data, working with quality assurance analysts if necessary.', 'Processing confidential data and information according to guidelines.', 'Helping develop reports and analysis.', 'Managing and designing the reporting environment, including data sources, security, and metadata.', 'Supporting initiatives for data integrity and normalization.', 'Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.', 'Generating reports from single or multiple systems.', 'Troubleshooting the reporting database environment and reports.', 'Evaluating changes and updates to source production systems.', 'Training end-users on new reports and dashboards.', 'Providing technical expertise in data storage structures, data mining, and data cleansing.']","['Bachelor’s degree from an accredited university or college in computer science / Commerce.', 'Work experience as a data analyst or in a related field.', 'An analytical mindset with problem-solving skills', 'Ability to analyze existing tools and databases and provide software solution recommendations.', 'Ability to translate business requirements into non-technical, lay terms.', 'High-level experience in methodologies and processes for managing large-scale databases.', 'Demonstrated experience in handling large data sets and relational databases.', 'High-level written and verbal communication skills.']",https://wuzzuf.net/jobs/p/adeG14H7rqQA-Data-Analyst-Gila-Electric-Cairo-Egypt?o=4&l=sp&t=sj&a=data analysis|search-v3,https://images.wuzzuf-data.net/files/company_logo/Gila-Electric-Egypt-23151-1597271038.jpg
4,Senior Data Scientist,Fixed Solutions,"Sheraton, Cairo",Full Time,23 days ago,31,,,,"IT/Software Development,Engineering - Telecom/Technology,Analysis,APIs,Computer Science,Engineering,Information Technology (IT),Java,Programming,Software,Software Development,Software Engineering,SQL,Python,Data Science",Confidential,More Than 5 Years,Bachelor'S Degree,"IT/Software Development,Engineering - Telecom/Technology",Experienced (Non-Manager),"[' Design and Develop analytical insights based on unstructured and structured data for industry-scale', 'analytical solutions on Cloud and on Prem.', 'Convert requirements into actual working modules.', ' Work with Data Scientists and Distinguished Engineers and Architects to solve problems by using analytics as a tool.', ' ']","['Required Years of experience: 5+ years of experience', ' Who you are:', ' You will be highly hands-on and enjoy keeping up with the latest innovations. With a very good grasp of a broad set of machine learning algorithms and software engineering skills, you will have a machine learning / mathematical / statistical background. ', ' As a Data scientist you will apply your deep analytics expertise, designing and implementing end to end unstructured data mining of large scale big data platforms. Apply semantic correlation, ontology, and text analytics techniques to analyze un-structured data and identify critical insights.  ', ' You will participate in feature / design discussions / workshop with Architect and the offering Management Teams to come up with innovative solutions that can scale.', ' What you know:', ' Defining the business problem and working hypothesis', ' Helping to locate/resolve data/quality issues', ' Proficient in the following: Python, R, Java, SQL', ' Proficient at consuming and building REST APIs', ' Proficient at integrating predictive/prescriptive models into applications and processes', ' Training and experience applying probability and statistics', ' Experience in data modeling and evaluation and a deep understanding of supervised and', 'unsupervised machine learning', 'Experience applying mathematical modeling and/or constraint programming to a range of', 'industry problems', 'Ability to apply predictive models as input into decision optimization problems', ' Experience building Monte Carlo simulation/optimization for what-if scenario analysis', ' Experience integrating data and the output of predictive and prescriptive models within the', 'context of a business problem', 'Proficiency with data parsing, scraping, and wrangling', ' Software life cycle, from analysis, design development, to unit testing, production', 'deployment and support.']",https://wuzzuf.net/jobs/p/PVAeMhWwvA6Q-Senior-Data-Scientist-Fixed-Solutions-Cairo-Egypt?o=5&l=sp&t=sj&a=data analysis|search-v3,https://images.wuzzuf-data.net/files/company_logo/Fixed-Solutions-Egypt-18523-1517185135.png
5,Data Engineer,Cilantro,"Maadi, Cairo",Full Time,23 days ago,74,70,0,25,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Data Science,Data Analysis,Data Analytics,Data Engineering,Data,Database,Information Technology (IT),Computer Science,OOP,Computer Engineering,Algorithms,Analysis",Confidential,1 To 3 Years,Bachelor'S Degree,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology",Entry Level (Junior Level / Fresh Grad),"['ETL maintenance for data freshness and maximum warehouse uptime', 'Integrate new data sources to ETL', 'Build monitoring dashboards for data delivery and quality', 'Data platform infrastructure maintenance and expansion when necessary', 'Adapting and evolving the data platform based on business requirements ', 'Support in analytical dashboards creation and interfaces for stakeholders ', 'Support in analytical tools development and maintenance']","['Qualifications', 'We’re looking for gritty tech-savvy individuals who are good self-learners, proactive, ambitious, result-oriented and hungry for continuous self-improvement.', ' Technical Qualifications:', 'Core understanding of OOP, and preferred proficiency in Python', 'Fair knowledge of SQL', 'Basic understanding of database systems', 'Fair knowledge of cloud providers, preferably GCP ', 'Basic understanding of cloud data warehouses, preferably Big Query', 'Experience using Pandas', 'Experience with data workflow orchestration (Airflow)', 'Nice to have: Machine learning and predictive analytics algorithms, experience using SQLAlchemy and Flask', ' Also, interested to learn more about:', 'New technologies as required to achieve business goals ', 'Business development & transformation', 'Data analysis and visualization', 'BI tools development']",https://wuzzuf.net/jobs/p/Vd4JAvFk3kzv-Data-Engineer-Cilantro-Cairo-Egypt?o=6&l=sp&t=sj&a=data analysis|search-v3,https://images.wuzzuf-data.net/files/company_logo/Cilantro-Egypt-69955-1638611455.jpg
6,Data Analyst,Lecico Egypt,"Alexandria, Egypt",Full Time,23 days ago,191,23,0,0,"Analyst/Research,Analysis,Data Analyst,Data Analysis,Analyst,English",Confidential,2 To 5 Years,Bachelor'S Degree,Analyst/Research,Experienced (Non-Manager),"['Developing and maintaining databases, data systems - reorganizing data in a readable format.', 'Performing analysis to assess quality and meaning of data.', 'Filter data by reviewing reports and performance indicators to identify and correct code problems.', 'Prepare sales trackers for distributors and products daily.', 'Prepare some data about stocks to help in giving ideas.', 'Analyzing local, national, and global trends that impact both the organization and industry.', 'Preparing reports for management stating trends, patterns, and predictions using relevant data.']","['Bachelor Degree in any related field.', 'An analytical mindset with problem-solving skills', 'Proficient in MS Office (Excel, Access, Word, PowerPoint etc.)', 'Presentation skills', 'Analytical Skills .', '2+ working experience as a data analyst.', 'Attention to details', 'Fluent in English.']",https://wuzzuf.net/jobs/p/123dzktUWSha-Data-Analyst-Lecico-Egypt-Alexandria-Egypt?o=7&l=sp&t=sj&a=data analysis|search-v3,https://images.wuzzuf-data.net/files/company_logo/Lecico-Egypt-Egypt-14389.png
7,Data Analyst - Quality Assurance Department,IdealRatings,"Heliopolis, Cairo",Full Time,27 days ago,673,434,31,467,"Accounting/Finance,Quality,Analyst/Research,Finance,Quality Assurance,Economic Statistics,Skills,Detail Oriented,QA,English,Communication skills,Quality Control,MS,Accounting,Communication,Analysis,Computer Science,Data Analysis,Economics,Information Technology (IT)",Confidential,0 To 2 Years,Bachelor'S Degree,"Accounting/Finance,Quality,Analyst/Research",Entry Level (Junior Level / Fresh Grad),"['Assist in ensuring the quality of large dataset.', 'Run analysis to identify the weaknesses of the tested data.     ', 'Execute automated and unautomated test cases, analyze the results, and share the findings.', 'Clearly communicate details of issues, severity, and priority.']","['0-2 years of experience.', 'Bachelor’s degree in Business, Finance, Accounting or Economics.', 'High researching skills.', 'Effective problem solving and strong analytical skills.', 'Detail-oriented.', 'Dedicated to creativity.', 'Capable of handling multiple tasks simultaneously.', 'Excellent command of English.', 'Excellent communication skills.', 'Excellent knowledge of MS Excel.']",https://wuzzuf.net/jobs/p/SmiRP57Qnyx1-Data-Analyst---Quality-Assurance-Department-IdealRatings-Cairo-Egypt?o=8&l=sp&t=sj&a=data analysis|search-v3,https://images.wuzzuf-data.net/files/company_logo/IdealRatings-Egypt-4076.png
8,Senior Data Engineer- Banha,Z2 Data,"Qalubia, Egypt",Full Time,1 month ago,9,5,0,5,"IT/Software Development,Analyst/Research,Engineering - Other,Data,Communication,MS Office,Analysis,Engineering,Computer Science,Data Administration,Data Management,Information Technology (IT),Management,Software Development,Software Engineering,Database",Confidential,3 To 5 Years,Bachelor'S Degree,"IT/Software Development,Analyst/Research,Engineering - Other",Experienced (Non-Manager),"['The goal is to ensure that information flows timely and securely to and from the organization as well as within.', 'Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data', 'Devise and implement efficient and secure procedures for data handling and analysis with attention to all technical aspects', 'Establish rules and procedures for data sharing with upper management, external stakeholders etc.', 'Support others in the daily use of data systems and ensure adherence to legal and company standards', 'Assist with reports and data extraction when needed', 'Monitor and analyze information and data systems and evaluate their performance to discover ways of enhancing them (new technologies, upgrades etc.)', 'Ensure digital databases and archives are protected from security breaches and data losses', 'Troubleshoot data-related problems and authorize maintenance or modifications']","['BS in Engineering or related field', 'Proven experience as  Sr. Engineer, from 3 to 5 years experience in the same field', 'Excellent understanding of data administration and management functions (collection, analysis, distribution etc.)', 'Familiarity with modern database and information system technologies', 'Proficient in MS Office (Excel, Access, Word, PowerPoint etc.)', 'An analytical mindset with problem-solving skills', 'Excellent communication and collaboration skills you should be able to fully grasp the complexity of data management.', 'Key Competencies', 'Communication skills', 'Customer service focus', 'Supervisory skills', 'Problem analysis and problem-solving', 'Decision-making', 'Planning and organizing', 'Initiative', 'Flexibility', 'Presentation skills', 'Stress tolerance']",https://wuzzuf.net/jobs/p/gPlkgoEtHL4N-Senior-Data-Engineer--Banha-Z2-Data-Qalubia-Egypt?o=9&l=sp&t=sj&a=data analysis|search-v3,https://images.wuzzuf-data.net/files/company_logo/Z2-Data-Egypt-10002-1516293068.png
9,Junior Data Engineer - Benha,Z2 Data,"Banha, Qalubia",Full Time,1 month ago,49,30,11,19,"Business Development,Analysis,Communication,Data,Electrical,Engineering",Confidential,0 To 1 Year,Not Specified,Business Development,Entry Level (Junior Level / Fresh Grad),"['The goal is to ensure that information flows timely and securely to and from the organization as well as within.', 'Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data', 'Devise and implement efficient and secure procedures for data handling and analysis with attention to all technical aspects', 'Establish rules and procedures for data sharing with upper management, external stakeholders etc.', 'Support others in the daily use of data systems and ensure adherence to legal and company standards', 'Assist with reports and data extraction when needed', 'Monitor and analyze information and data systems and evaluate their performance to discover ways of enhancing them (new technologies, upgrades etc.)', 'Ensure digital databases and archives are protected from security breaches and data losses', 'Troubleshoot data-related problems and authorize maintenance or modifications']","['BS in Engineering communication , power , electrical mechatronics', 'Experience 0-1', 'understanding of data administration and management functions (collection, analysis, distribution etc.)', 'Proficient in MS Office (Excel, Access, Word, PowerPoint etc.)', 'An analytical mindset with problem-solving skills', 'Excellent communication and collaboration skills you should be able to fully grasp the complexity of data management.']",https://wuzzuf.net/jobs/p/njfYW6M0SxCi-Junior-Data-Engineer---Benha-Z2-Data-Qalubia-Egypt?o=10&l=sp&t=sj&a=data analysis|search-v3,https://images.wuzzuf-data.net/files/company_logo/Z2-Data-Egypt-10002-1516293068.png
