,job_title,company_name,location,duration,date_posted,Num_Applicants,Num_Views,Num_In_Consideration,Num_Not_Selected,skills_and_tools,salary,experience_needed,education_level,job_categories,career_level,job_description,job_requirements,job_link,Logo
0,Senior/Mid Senior Deep Learning Engineer,Confidential Company,"Mokattam, Cairo",Full Time,1 month ago,35,8,0,0,"IT/Software Development,Engineering - Telecom/Technology,Artificial Intelligence,Computer Science,Deep Learning,Design,Information Technology (IT),Machine Learning,Python,Software Engineering,Statistics,TensorFlow,computer,Pandas",20000 To 30000 EGP Per Month,More Than 4 Years,Bachelor'S Degree,"IT/Software Development,Engineering - Telecom/Technology",Experienced (Non-Manager),"['Reviewing, replicating, and mapping research papers when needed', 'Staying up to date with state-of-the-art deep learning tools and papers on application adopted by the company', 'Applying and ensuring best practices in terms of deep learning code reproducibility, automation, deployment, and maintainability', 'Applying and ensuring best practices in terms of data collection, storage, and pre-processing', 'Continuously reviewing and optimizing existing models and pipelines']","['Completed Master’s degree or higher in Artificial Intelligence, Computer Science or similar', 'Significant (4+ years) industry experience bringing large-scale deep learning models into production (at a senior level) - Experience in MLOps is a must', 'Experience with dealing with real-world, noisy and often limited datasets', 'Strong fundamentals in probability theory, information theory, statistics, linear algebra, computer science, data structures, code optimization and algorithms', 'Deep familiarity/experience with Python, PyTorch/TensorFlow/ transformers (hugging face), pandas, numpy, etc.; embodied in Published paper implementations, Open Source Contributions, Github Projects, etc.', 'Functional design, and/or translating of a functional design into a solution', 'Results-oriented, proactive and decisive', 'Strong communication and ownership skills', 'A curious, creative, and analytical mindset']",https://wuzzuf.net/jobs/p/5NFxSMKMH5K0-SeniorMid-Senior-Deep-Learning-Engineer-Cairo-Egypt?o=1&l=sp&t=sj&a=machine learning|search-v3,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADoAAAA4CAMAAACbrRsRAAAA7VBMVEX///8AAAAAAAAAAABsbGy3trZ5eXkAAAAAAAAAAACko6Oop6cAAAAAAAAAAAAqKSmgn5+npqapqKhGRkYAAAAAAACTkpKamZkAAACura21tLS1tLSbmpqLioqura2ysbEAAAAAAAAAAAAAAAAAAAAAAAAAAACMi4sAAAAAAAAAAACxsLCura22tbW2tbUAAAAAAACsq6u0s7O2tbUAAAAAAAAAAABjYmIAAAChoaGQj4+Eg4MAAACJiIgAAACmpaUAAAAAAACjoqKfnp6lpKRvbm6enZ2sq6sAAAC0s7MAAACwr68AAABLS0sAAAA4s2hBAAAAT3RSTlMADTYQZf9xAiAluMQnBANCr8LGTgYslaAz3PP2o4bZ5x0WMCMZNCaJLis14Nf4/TIp0PH6CwEHXhOxjX0YhBW9JCKzrLpoqs0f7jHeLVAJRHNrcAAAAfdJREFUeAFiGAWA6upCuY0YCAOwrXgdxczUHOgcUmO2Gmbm93+crrakqNFNGP7E7G9W2pH3Xpgkw8w8j6YA0u9KZznncxmAbA6f5J9EC8VSqQyYSqlUrT2Rwt+8E60zVmz8o80qY63H0jZY6Tyefpv3PB98z8tA0MCnT6DzoRBRuy5EN9NYEGLxCTSVxPvsUiIhlnWTWu9DMytS4iqljNrNupTfn0BhtdfrQ6fXCwDavd7gHap+XJvmOB8GEeejcbPL+ZPaVC6VJhCUSmOATKk0ddOaMpLXVVOMLcMy3rX14V9G+kMZWftLw3UjGw/vtVA0vtP9R5ub6+vNzurW+vrmtpNm0/gxbOJdxqQrSoXNrR2l1onu7im1Mh7pN9MzSv2i9Gz/QKnDI5PWdQE9/hjR3q4uQEuhWkSp/jHXX4+penK6fnpiUruqe6+nSZU8tRfs2CsNhMEZDgSixQJ+1W4TzQs497zKPRrpgXB2IYTnpjQvzkdC5DIxbWoUcSaaR8LdJpvaBzGOUoFsGu+J2sefKP1yL4dSXmVMOqEClVIJ3KeJ6sN1qeTfo0NdQF/Wlt2U6l/fcF6Pa5M9YJ7SJnus2dS9YLDiXrDZJgd1twn+Job+zZemzAhS9l+QMiNEPyr5IXtGrmY1ba0/I7d0AVhTz8hd4uvlJ+yLlcGQIISoAAAAAElFTkSuQmCC"
1,ML Engineer - Recommendation System,TensorGraph,"Maadi, Cairo","Part Time,Freelance / Project",5 days ago,64,27,9,3,"IT/Software Development,Engineering - Telecom/Technology,AI,Computer Science,NLP,ML,Machine Learning,Information Technology (IT),Python",Confidential,More Than 1 Year,Bachelor'S Degree,"IT/Software Development,Engineering - Telecom/Technology",Entry Level (Junior Level / Fresh Grad),"['TensorGraph is looking for an “ML Engineer - Recommendation System” who is passionate about personalizing ML models, recommender systems, and disciplines. Also will help in conversational AI and language understanding models. ', 'Build and Improve the existing recommendation system', 'Design and implement the new approaches in recommendation systems', 'Set the System evaluation KPIs and Golden data', 'Analysis the historical data to choose the right approach']","['BA in Computer Science and similar fields', 'has 1+ years in recommendations systems', 'Have a strong background in machine learning, with experience and expertise in personalized machine learning algorithms, especially recommender systems', 'Nice to have experience in Conversational AI Models and working with Language understanding Models.', 'Experience with python, Nodejs', 'Experience with ML frameworks and libraries', 'Ability to write “Robust and testable codes.”', 'Statistical Analysis']",https://wuzzuf.net/jobs/p/bevYQMKRLEmI-ML-Engineer---Recommendation-System-TensorGraph-Cairo-Egypt?o=2&l=sp&t=sj&a=machine learning|search-v3,https://images.wuzzuf-data.net/files/company_logo/TensorGraph-Egypt-32724-1636296196.png
2,Internship - Graduates,Trufla,"Heliopolis, Cairo",Internship,12 days ago,"1,398",59,2,9,"IT/Software Development,Engineering - Telecom/Technology,Computer Science,Information Technology (IT),Internship,Startup,PHP,React.js,Node.js,Machine Learning,Mobile Development,SEO,Search Engine Optimization",Paid,Not Specified,Bachelor'S Degree,"IT/Software Development,Engineering - Telecom/Technology",Entry Level (Junior Level / Fresh Grad),"['Think insurance is boring? Think again. ', 'Trufla Technology is a multinational Canadian company and the first of its kind – we offer a complete suite of digital solutions for the modern insurance brokerage. From SEO and web design, to lead management, branded customer service and API’s, Trufla provides a 360° digital strategy for brokerages and reimagines the way their customers interact with insurance. ', 'Do you think we match? Apply Now!', 'For Backend PHP Laravel / Native', 'https://assessment.testgorilla.com/testtaker/publicinvitation/128a6f1e-e094-43a9-9861-998073386e77', 'For Frontend React JS', 'https://assessment.testgorilla.com/testtaker/publicinvitation/05d7219c-285b-4595-8d1e-2ae6e938ac79', 'For Backend Node JS', 'https://assessment.testgorilla.com/testtaker/publicinvitation/d8471fc7-5df1-456a-85cc-27e1f1445c89', 'For Quality Control Engineer', 'https://assessment.testgorilla.com/testtaker/publicinvitation/36bb19b2-d37a-46ab-9916-e364033f45eb', 'For Machine Learning', 'https://assessment.testgorilla.com/testtaker/publicinvitation/185c7910-887b-49bb-96d2-d494b8fcc45c', 'For Mobile Development', 'https://assessment.testgorilla.com/testtaker/publicinvitation/38ff45c4-aabd-43af-97d5-62cf736e4bbd', 'For Implementation and Software Support', 'https://assessment.testgorilla.com/testtaker/publicinvitation/38ff45c4-aabd-43af-97d5-62cf736e4bbd', 'For Search Engine Optimization', 'https://assessment.testgorilla.com/testtaker/publicinvitation/e043cada-a64c-416c-9d8e-59e16925ca14', '', 'Application Deadline: 28/09/2022', 'Internship Start date: 01/11/ 2022', 'Duration: 3 Months']",,https://wuzzuf.net/internship/zF1Yie2Xk7e0-Internship---Graduates-Trufla-Cairo-Egypt?o=3&l=sp&t=sj&a=machine learning|search-v3,https://images.wuzzuf-data.net/files/company_logo/Trufla-Egypt-17331-1623761357.png
3,Data Scientist,Confidential Company,"Riyadh, Saudi Arabia",Full Time,19 days ago,40,0,0,0,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Computer Science,Data Science,Hadoop,Information Technology (IT),Machine Learning,Naive Bayes,Programming,Statistics",Confidential,2 To 4 Years,Bachelor'S Degree,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology",Experienced (Non-Manager),"['Selecting features, building, and optimizing models using machine learning', 'techniques', 'Data mining using state-of-the-art methods', 'Enhancing data collection procedures to include information that is relevant for', 'building analytic systems', 'Processing, cleansing, and verifying the integrity of data used for analysis', 'Doing ad-hoc analysis and presenting results in a clear manner', 'Creating automated anomaly detection systems and constant tracking of its', 'performance', 'Provide clear insights that help define strategy, and facilitate speed and accuracy of', 'decision-making, and ultimately make a positive impact on the business.', 'Work in the opportunity, investigate, and explore phases of product development to', 'identify the biggest and most valuable consumer needs and motivations', 'Have a strong toolkit for quantitative and qualitative methods to apply in problem-', 'solving', 'Translate business questions into learning plans and then lead, develop, design and', 'conduct primary research studies to enable the synthesis of data to develop insights.', 'Ensure effective communication of market data, including synthesizing them into', 'insights for action', 'Manage third-party vendors to ensure learning objectives are met, and quality research', 'standards are maintained', 'Find opportunities to develop and champion the use of new research methods to', 'address unique research challenges and evolving trends', 'Remain abreast of best practices within the discipline and research methods', 'employed, including the latest evolution of approaches as the industry develops', 'Coordinate multiple tasks simultaneously, meeting deadlines and working', 'productively and efficiently under pressure']","['Strong applied mathematical and statistical skills regardless of the tools.', 'Excellent written and verbal communication skills for coordinating across teams.', 'Knowledge of a variety of machine learning techniques (clustering, decision tree', 'learning, artificial neural networks, etc.) and their real-world advantages/drawbacks', 'Data-oriented personality.', 'Good applied statistics skills, such as distributions, statistical testing, regression, etc.', 'Good understanding of data mart schemas, and OLAP tools.', 'Good understanding of data visualization concepts and tools.', 'Good understanding of using query languages such as SQL.', 'Broad understanding of databases (e.g. Oracle PL/SQL, Mongo), and high-', 'the performance or distributed processing (e.g. Hadoop, Spark)', 'Deep understanding of probability, statistics and machine learning theory.', 'Experience with Python, Machine learning libraries, and data mining.', 'Good scripting and programming skills Python, R Data-oriented personality.', 'Must have a good understanding of machine/deep learning techniques and algorithms', '(SVM, Naive Bayes, Decision Forests, Neural Networks, etc.)', 'Applied experience with machine learning on large datasets.', 'Demonstrated skills in selecting the right statistical tools given a data analysis', 'problem.', 'Experience with statistical software (e.g., R, Julia, MATLAB, pandas) and database', 'languages (e.g., SQL).', 'Advanced level in Microsoft Excel', 'Build, test and deliver new analytics/models using the new data sets as required to', 'underpin use case.', 'Excellent understanding of machine learning techniques and algorithms such as k-', 'NN, Naive Bayes, SVM, Decision Forests, etc. Experience with common data science', 'toolkits.']",https://wuzzuf.net/jobs/p/OjuPwsoJjnOC-Data-Scientist-Riyadh-Saudi-Arabia?o=4&l=sp&t=sj&a=machine learning|search-v3,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADoAAAA4CAMAAACbrRsRAAAA7VBMVEX///8AAAAAAAAAAABsbGy3trZ5eXkAAAAAAAAAAACko6Oop6cAAAAAAAAAAAAqKSmgn5+npqapqKhGRkYAAAAAAACTkpKamZkAAACura21tLS1tLSbmpqLioqura2ysbEAAAAAAAAAAAAAAAAAAAAAAAAAAACMi4sAAAAAAAAAAACxsLCura22tbW2tbUAAAAAAACsq6u0s7O2tbUAAAAAAAAAAABjYmIAAAChoaGQj4+Eg4MAAACJiIgAAACmpaUAAAAAAACjoqKfnp6lpKRvbm6enZ2sq6sAAAC0s7MAAACwr68AAABLS0sAAAA4s2hBAAAAT3RSTlMADTYQZf9xAiAluMQnBANCr8LGTgYslaAz3PP2o4bZ5x0WMCMZNCaJLis14Nf4/TIp0PH6CwEHXhOxjX0YhBW9JCKzrLpoqs0f7jHeLVAJRHNrcAAAAfdJREFUeAFiGAWA6upCuY0YCAOwrXgdxczUHOgcUmO2Gmbm93+crrakqNFNGP7E7G9W2pH3Xpgkw8w8j6YA0u9KZznncxmAbA6f5J9EC8VSqQyYSqlUrT2Rwt+8E60zVmz8o80qY63H0jZY6Tyefpv3PB98z8tA0MCnT6DzoRBRuy5EN9NYEGLxCTSVxPvsUiIhlnWTWu9DMytS4iqljNrNupTfn0BhtdfrQ6fXCwDavd7gHap+XJvmOB8GEeejcbPL+ZPaVC6VJhCUSmOATKk0ddOaMpLXVVOMLcMy3rX14V9G+kMZWftLw3UjGw/vtVA0vtP9R5ub6+vNzurW+vrmtpNm0/gxbOJdxqQrSoXNrR2l1onu7im1Mh7pN9MzSv2i9Gz/QKnDI5PWdQE9/hjR3q4uQEuhWkSp/jHXX4+penK6fnpiUruqe6+nSZU8tRfs2CsNhMEZDgSixQJ+1W4TzQs497zKPRrpgXB2IYTnpjQvzkdC5DIxbWoUcSaaR8LdJpvaBzGOUoFsGu+J2sefKP1yL4dSXmVMOqEClVIJ3KeJ6sN1qeTfo0NdQF/Wlt2U6l/fcF6Pa5M9YJ7SJnus2dS9YLDiXrDZJgd1twn+Job+zZemzAhS9l+QMiNEPyr5IXtGrmY1ba0/I7d0AVhTz8hd4uvlJ+yLlcGQIISoAAAAAElFTkSuQmCC"
4,Senior Data Scientist,BBI-Consultancy,"Nasr City, Cairo",Full Time,1 month ago,47,0,0,0,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Computer Science,Data,Data Science,data scientist,Information Technology (IT),Python,Statistics,DataRobot,Machine Learning,Engineering,Java,Software Development,Software Engineering,SQL",Confidential,3 To 5 Years,Bachelor'S Degree,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology",Experienced (Non-Manager),"['Identify valuable data sources and automate collection processes', 'Undertake preprocessing of structured and unstructured data', 'Analyze large amounts of information to discover trends and patterns', 'Build predictive models and machine-learning algorithms', 'Combine models through ensemble modeling', 'Present information using data visualization techniques', 'Propose solutions and strategies to business challenges', 'Collaborate with engineering and product development teams']","['BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred.', '3-5 Years of proven experience as a Data Scientist.', 'Experience in DataRobot or any similar tool', 'Experience in data mining', 'Understanding of machine-learning and operations research', 'Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset', 'Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)', 'Analytical mind and business acumen', 'Strong math skills (e.g. statistics, algebra)', 'Problem-solving aptitude', 'Excellent communication and presentation skills']",https://wuzzuf.net/jobs/p/jX5wf4UC6hGY-Senior-Data-Scientist-BBI-Consultancy-Cairo-Egypt?o=5&l=sp&t=sj&a=machine learning|search-v3,https://images.wuzzuf-data.net/files/company_logo/BBI-Consultancy-Egypt-1113-1518334605.png
5,Data Science Instructor,EpsilonAI,"Nasr City, Cairo","Full Time,Part Time",1 month ago,105,26,0,0,"IT/Software Development,Engineering - Telecom/Technology,Training/Instructor,Data Science,Computer Science,Computer Engineering,Python,Machine Learning,Deep Learning,Artificial Intelligence (AI),Software Engineering,OOP,Programming,Mathematics,Mathematics Teaching,Mathematics Curriculum,applied mathematics,Information Technology (IT),Software Development,Software,Git","Confidential, Commissions And Bonuses",More Than 1 Year,Bachelor'S Degree,"IT/Software Development,Engineering - Telecom/Technology,Training/Instructor",Entry Level (Junior Level / Fresh Grad),"['Epsilon AI Institute is hiring Data Science instructors who Manage and delivers the course materials to trainees in an engaging thought-provoking manner', 'The successful candidate will be able to contribute to the delivery of topics relating to Artificial Intelligence, Machine Learning, Data Science and Programming', 'Engage in the classroom and reply to emails, Trainees’ questions, etc. within 24 hours on non-holiday weekdays.', ""Evaluate and grade Trainees' class work, assignments, and papers within the timeframe set forth by Epsilon AI policy providing effective feedback to guide Trainees' learning and success."", ""Maintain the cadence of the course: Keep Trainees on track, monitor each individual's progress, and design and implement learning or service interventions when Trainees fall behind""]","['Expert level in Python including Numpy, Pandas, Scikit-learn', 'Proficiency in Relational and non-relational databases, and Cloud computing with in-depth knowledge of machine learning and artificial intelligence libraries, and APIs.', 'Strong foundation in Mathematics', 'Expert level in MLlib', 'Excellent programming skills (including OOP and preferably functional programming)', 'Solid Understanding of Machine Learning Models; Data Preparation, Cleaning up data; Mathematics; Model Deployment', 'Solid understanding of Data Science techniques', 'Excellent software engineering skills (Agile methodologies, Git, continuous development, etc.)', 'Lead project sprints, helping Trainees scope and execute larger technical projects to demonstrate mastery of each content module', 'Diligently respond to Trainees needs and questions during the course schedule', 'Acts as a technical mentor guiding Trainees on a technical journey of discovery', 'Working experience in data science', 'Bachelor’s degree (or higher) in -Computer Science or related field preferred', 'A minimum of 1-year experience with research/development/application of Data Science', 'Experience using technology and interactive electronic materials to support teaching and learning.', 'Experience using a Learning Management System such as Google Classroom, Canvas']",https://wuzzuf.net/jobs/p/6EdqURmRczoK-Data-Science-Instructor-EpsilonAI-Cairo-Egypt?o=6&l=sp&t=sj&a=machine learning|search-v3,https://images.wuzzuf-data.net/files/company_logo/EpsilonAI-Egypt-65111-1626178228.png
6,Data Scientist,Seoudi Supermarket,"Sheikh Zayed, Giza",Full Time,1 month ago,136,118,31,87,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Data Science,Programming,Machine Learning,Python,Data Analytics,Computer Science,Information Technology (IT)",Confidential,1 To 4 Years,Bachelor'S Degree,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology",Entry Level (Junior Level / Fresh Grad),"['Analyze raw data: assessing quality, cleansing, structuring for downstream processing.', ' Design accurate and scalable prediction algorithms.', ' Collaborate with engineering team to bring analytical prototypes to production.', ' Generate actionable insights for business improvements.', '', 'Work Conditions', 'Full-time job (On-site).', 'Location: Sheikh Zayed, Giza.', '2 days off  (Friday and Saturday)']","[""Bachelor's degree or equivalent experience in quantitative field (Statistics, Mathematics, Computer Science, Engineering, etc.)"", "" At least 1 - 4 years' of experience in quantitative analytics or data modeling."", ' Deep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithms.', ' Fluency in a programming language (Python, C,C++, Java, SQL).', ' Familiarity with Big Data frameworks and visualization tools (Cassandra, Hadoop, Spark, Tableau).', ' ']",https://wuzzuf.net/jobs/p/yvKLvGcoRMNa-Data-Scientist-Seoudi-Supermarket-Giza-Egypt?o=7&l=sp&t=sj&a=machine learning|search-v3,https://images.wuzzuf-data.net/files/company_logo/United-Grocers-Egypt-16038-1604501330.png
7,Senior Data Engineer,Worex,"Maadi, Cairo",Full Time,1 month ago,14,4,2,0,"IT/Software Development,Engineering - Telecom/Technology,Information Technology (IT),Machine Learning,Computer Science,Big Data",Confidential,3 To 5 Years,Not Specified,"IT/Software Development,Engineering - Telecom/Technology",Experienced (Non-Manager),"['New data integrations, DataOps, troubleshooting & automation & Teradata migration and transformations', 'Create and maintain, with the team, an optimal data pipeline architecture. ', 'Build, deploy, and maintain distributed data analytics systems using Hadoop/Spark, Python, Java , Go , Scala, and C/C++ ', 'Assemble large, complex data sets that meet functional / non-functional requirements. ', 'Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc. ', 'Build the infrastructure required for optimal loading of data from a wide variety of data sources using SQL and big data technologies. ', 'Work with stakeholders including the Data and Design teams to assist with data-related technical issues and support their data infrastructure needs. ', 'Identify gaps and improve the platform’s quality, robustness, and speed ', 'Meet customer requirements in terms of availability, reliability, functionality, and performance']","['Results-oriented, determined and having a self-driven attitude ', 'Deep Understanding of CS (Data Structure , Algorithms , Data Sterilization , Discreate Mathematics , CLI , Shell Scripting , networking, and corn jobs ) ', 'Proven Experience in programming languages like (Java , Python , Scala) ', 'Deep understanding of relational and non-relational databases ', 'Basics understanding and implementing Machine Learning (TensorFlow, Spark MiLB) ', 'Experience building and optimizing ‘big data’ data pipelines, architectures, and data sets. In both batch and real-time data integration.']",https://wuzzuf.net/jobs/p/eDPM1YPgMI8J-Senior-Data-Engineer-Worex-Cairo-Egypt?o=8&l=sp&t=sj&a=machine learning|search-v3,https://images.wuzzuf-data.net/files/company_logo/Worex-Egypt-58786-1606135536.png
8,Mechanical Production Engineer,ATA Electronics,"6th of October, Giza",Full Time,15 days ago,348,20,0,0,"Manufacturing/Production,Engineering - Mechanical/Electrical,AutoCAD,Engineering,English,Manufacturing,Mechanical,Mechanical Engineering,Microsoft Office,Production,Sheet Metal,Machines,Skills,SolidWorks,CorelDraw",Confidential,0 To 5 Years,Bachelor'S Degree,"Manufacturing/Production,Engineering - Mechanical/Electrical",Entry Level (Junior Level / Fresh Grad),"['Responsible for achieving production plan for each production line in accordance to predetermined standards and product special controls', 'Work effectively with team members of all disciplines, working on increasing production capacity and decreasing waste and Proficiency in MS Office.', 'Cooperate and communicate effectively with production team', 'Follow up maintenance process to raise efficiency.', 'Reviewing the materials needed for the production process.', 'Reporting emergency equipment malfunctions.', 'Participate in the development of manufacturing processes by studying production requirements.', 'Fulfill any additional tasks as per job need.', 'Review product design for compliance with engineering principles, company standards and customer contract requirements, and related specifications.', 'Understand mold making, prototyping and product testing.']","['Experience 0 - to 5 years in metal forming and press machines.', 'Familiarity with various manufacturing methods (e.g., molding, welding, soldering, adhesives, machining, stamping, cables manufacturing, injection machines and forming.)', 'Bachelor’s degree in mechanical engineering is a must.', 'Good knowledge of Solid works, AutoCAD, CorelDraw, Sheet Metal and Microsoft office.', 'Very good command of English.', 'Learning & researching.', 'Decision making ability and leadership skills.']",https://wuzzuf.net/jobs/p/Ocp9ctsm8O5m-Mechanical-Production-Engineer-ATA-Electronics-Giza-Egypt?o=9&l=sp&t=sj&a=machine learning|search-v3,https://images.wuzzuf-data.net/files/company_logo/ATA-Electronics-Egypt-52018-1582633288.jpg
9,Mechanical Engineer ( Production ),Eagle Chemicals,"6th of October, Giza",Full Time,18 days ago,388,11,1,6,"Manufacturing/Production,Engineering - Mechanical/Electrical,AutoCAD,Mechanical Engineering,Mechanical,Production Engineering,Maintenance,Machines,Leadership,Production,Engineering,Microsoft,Microsoft Office",Confidential,1 To 3 Years,Bachelor'S Degree,"Manufacturing/Production,Engineering - Mechanical/Electrical",Entry Level (Junior Level / Fresh Grad),"['Perform overall quality control of the work (budget, schedule, plans, personnel’s performance) and report regularly on project status.', 'Develop installation bid packages, get quotes and order.', 'Cooperate and communicate effectively with production team.', 'Follow up maintenance process to raise efficiency', 'Upgrade existing equipment to improve efficiency']","['Bachelor’s degree in mechanical engineering.', '1 to 3 years’ experience.', 'Professional user of AutoCAD and Microsoft office.', 'Decision making ability and leadership skills.', 'Very good command of English.', 'Learning & Researching.', 'Decision making ability and leadership skills.']",https://wuzzuf.net/jobs/p/tI3n0rbWBYEM-Mechanical-Engineer-Production-Eagle-Chemicals-Giza-Egypt?o=10&l=sp&t=sj&a=machine learning|search-v3,https://images.wuzzuf-data.net/files/company_logo/Eagle-Chemical-Egypt-12429-1497346001.jpg
